timestamp,edges_intersection_rate,matched_paths,total_paths
20190121,0.9992903368883692,495658,496010
20190123,0.9956149165186216,495414,497596
20190128,0.9724799582085953,484013,497710
20190129,0.990293356776604,491135,495949
20190130,0.9740642944468949,483620,496497
20190220,0.0,0,0
20190225,0.9989513685833524,2971234,2974353
20190226,1.0,4470206,4470206
20190227,0.9994451923907242,4467538,4470018
20190228,0.9999407118913376,4469434,4469699
20190303,0.9964520997671872,4453828,4469686
20190304,0.9994171695637974,5440949,5444122
20190306,0.9942673539466014,5426749,5458038
20190311,0.9742486019328084,5311769,5452170
20190312,0.9964874804291333,5427103,5446233
20190313,0.9907315547705449,5401622,5452155
20190314,0.994421089700558,5421723,5452140
20190317,0.9798040820604494,5347270,5457489
20190318,0.995923747822507,5438150,5460408
20190428,0.9420432935850634,3749061,3979712
20190429,0.9999112907794808,8453839,8454589
20190501,0.9990760179828758,8446898,8454710
20190506,0.9923356158090774,7906307,7967372
20190507,0.998931260803491,7958817,7967332
20190508,0.9986958784062677,8207075,8217792
20190509,0.9983922565467905,8204517,8217729
20190617,0.9113915584283316,5995624,6578538
20190618,0.9995082819708966,8722255,8726546
20190619,0.999736665602099,8724249,8726547
20190620,0.9993055672535769,8720487,8726547
20190623,0.9973722914011177,9256702,9281090
20190624,0.9990643558933114,8736596,8744778
20190626,0.995867581484128,8731274,8767505
20190715,0.9158556683225929,7031644,7677677
20190716,0.9997769427097335,9304950,9307026
20190717,0.9996495996805174,9311796,9315060
20190718,0.9997646093798386,9314236,9316429
20190721,0.9981131361866333,9289417,9306978
20190722,0.978267096373803,9098469,9300598
20190724,0.9991393278693271,9317244,9325270
20190729,0.9962244630536742,9298004,9333242
20190730,0.9937696332109055,9812060,9873576
20190731,0.9914465137190316,9788949,9873401
20190801,0.9985003174688208,9841305,9856086
20190804,0.9926026132422886,9245200,9314100
20190805,0.9769466196677713,10182656,10422940
20190807,0.9928279500503798,10348069,10422822
20190812,0.9906515744212245,10334501,10432024
20190813,0.9982019792892628,10414380,10433139
20190814,0.9981318903065449,10422065,10441571
20190815,0.9805178107399323,10238113,10441537
20190818,0.9945645458621176,10375360,10432063
