timestamp,edges_intersection_rate,matched_paths,total_paths
20190121,0.9727275784376366,86778,89211
20190123,0.9645711166122307,102477,106241
20190128,0.833721358967606,79141,94925
20190129,0.9538315198478065,82226,86206
20190130,0.815634400626365,59379,72801
20190220,0.5127210496292071,17976,35060
20190225,0.9698000334320419,1038490,1070829
20190226,0.995225245853175,1716878,1725115
20190227,0.9774251826931092,1805924,1847634
20190228,0.9952561355395764,1921965,1931126
20190303,0.9125541582534807,2040086,2235578
20190304,0.9138570959942819,2693878,2947811
20190306,0.964867494968984,2976485,3084864
20190311,0.9080991918995112,3010851,3315553
20190312,0.9769152017732996,3166147,3240964
20190313,0.9630316488205777,3046671,3163625
20190314,0.9730706092335004,3043218,3127438
20190317,0.803594991069683,2425097,3017810
20190318,0.860615585901897,2415371,2806562
20190428,0.6802930697287144,1405295,2065720
20190429,0.9273469902635713,4675486,5041787
20190501,0.9744285659620469,4889246,5017552
20190506,0.8911134984592316,4348952,4880357
20190507,0.9635732733316892,4438311,4606096
20190508,0.958044446822442,4368995,4560326
20190509,0.9441538659882112,4188969,4436744
20190617,0.5828271344929427,2103475,3609089
20190618,0.9882453781048915,5301302,5364358
20190619,0.988176744629768,5282699,5345905
20190620,0.9818222522647984,5210082,5306543
20190623,0.8284904807011256,4465910,5390418
20190624,0.905786203465662,4732136,5224341
20190626,0.9150972854799087,4683025,5117516
20190715,0.7413751982282653,3242119,4373115
20190716,0.9845730476466933,5304789,5387908
20190717,0.9913904992965749,5351401,5397874
20190718,0.9911772215426575,5419313,5467552
20190721,0.8617273955155237,4700143,5454327
20190722,0.927000114003693,5163386,5569995
20190724,0.9776035784268552,5473927,5599332
20190729,0.9405438166889724,5285528,5619651
20190730,0.9627155082279095,5409484,5618985
20190731,0.9668340823450293,5434323,5620740
20190801,0.9890112733162735,5542975,5604562
20190804,0.8009665284810858,4469535,5580177
20190805,0.921962000715894,5638195,6115431
20190807,0.9649514431092175,5875929,6089352
20190812,0.9449443994979471,5795550,6133218
20190813,0.9823548621339249,6214870,6326502
20190814,0.9810543320515006,6238136,6358604
20190815,0.8656979015064663,5470023,6318628
20190818,0.8020869625327229,4919760,6133699
20190819,0.9205761089510287,5598537,6081558
20190821,0.9554224768394184,5684951,5950196
20190826,0.9335292661346849,5362011,5743806
20190827,0.9802806076485501,5652844,5766557
20190828,0.9836956756392318,5923656,6021838
20190829,0.9883761234640306,5925388,5995074
20190901,0.8233776761734731,4899718,5950754
20190902,0.9211586221845857,5371462,5831202
20190904,0.966609690373759,5618848,5812944
20190909,0.9377257543610116,5654024,6029507
20190910,0.9834624880414047,6109327,6212059
20190911,0.9857787529750424,6153160,6241928
20190912,0.9739456129626239,6031951,6193314
20190915,0.8020418096590093,4938477,6157381
20190916,0.9295143511305294,5819694,6261005
20190918,0.968066591658819,6070218,6270455
20190923,0.912494252160029,5629824,6169709
20190924,0.9755767809500973,6094554,6247129
20190925,0.9694753961703901,6075458,6266748
20190926,0.975618258207145,6112544,6265303
20190929,0.8508864611846806,5312730,6243759
20190930,0.9160577246168865,5752357,6279470
20191002,0.9630027168328387,5974387,6203915
20191007,0.9133314588813775,5583914,6113787
20191008,0.9705512065262236,5843452,6020756
20191009,0.9840022558887763,5893836,5989657
20191010,0.9837203279929287,5846184,5942933
20191013,0.8307999038374189,4654981,5603011
20191014,0.8820551925789165,4820025,5464539
20191016,0.8990376200132884,4982177,5541678
20191021,0.9333405116644987,5374240,5758070
20191022,0.9710781458146843,5777746,5949826
20191023,0.9816415106931472,5854241,5963726
20191024,0.9617993299602408,5699543,5925917
20191027,0.8531062614656836,5054902,5925290
20191028,0.9245783635534383,5629496,6088717
20191030,0.9544961065411733,5757804,6032297
20191104,0.9299585154265844,5618814,6042005
20191105,0.9418749444391399,5721344,6074420
20191106,0.9760539002765307,5887440,6031880
20191107,0.9828930640594383,5978623,6082679
20191110,0.8305977467316251,5002456,6022718
20191111,0.9317663065354415,5578729,5987262
20191113,0.9100308699876591,5360252,5890187
20191118,0.5589856583949351,2924836,5232399
20200127,0.4993307993446757,1561713,3127612
20200128,0.9804326802334516,5231177,5335580
20200129,0.982026968083859,5234572,5330375
20200130,0.9622649929517039,5024101,5221120
20200202,0.8427051978495476,4383653,5201882
20200203,0.9252361450447123,5779272,6246267
20200205,0.9585890448750982,6261287,6531774
20200210,0.8934509340883711,5806786,6499278
20200211,0.9723383768114258,6694997,6885460
20200212,0.9895890700236588,6860538,6932714
20200213,0.9823362656415735,6873621,6997218
20200216,0.8644140746848311,6121503,7081679
20200217,0.915629619574458,6623813,7234162
20200219,0.970086435442463,7081533,7299899
20200224,0.9199407276737507,6408136,6965814
20200225,0.9705403599731746,6887198,7096251
20200226,0.9445932831365339,6708169,7101648
20200227,0.9840973103993333,6979164,7091945
20200301,0.8321448836365963,5851518,7031850
20200302,0.8933485521449686,6357632,7116631
20200304,0.9750652446159704,7003489,7182585
20200309,0.9359663026866363,6529066,6975749
20200310,0.9692192626304728,6922541,7142389
20200311,0.9832220125611901,6955167,7073852
20200312,0.9343022147799032,6544773,7004985
20200315,0.7749618336208582,5309713,6851580
20200316,0.9302097559476405,6234956,6702742
20200318,0.9400813818660183,6418698,6827811
20200323,0.7526199460529042,4817585,6401086
20200324,0.9784782344168896,6481250,6623806
20200325,0.9862025229361951,6536073,6627516
20200326,0.9610815762963969,6342531,6599368
20200329,0.8521672834507763,5994431,7034336
20200330,0.9206522345099353,6655221,7228811
