timestamp,edges_intersection_rate,matched_paths,total_paths
20190121,0.0,0,0
20190123,0.0,0,0
20190128,0.0,0,0
20190129,0.0,0,0
20190130,0.0,0,0
20190220,0.0,0,0
20190225,0.98124576061286,3212945,3274353
20190226,0.9960418478331742,4353678,4370979
20190227,0.9857392861112471,4310147,4372502
20190228,0.9979452162874255,4363738,4372723
20190303,0.9300461862709045,4066839,4372728
20190304,0.9300072907732684,5062836,5443867
20190306,0.9797344150636914,5346348,5456936
20190311,0.9330063614953972,5086036,5451234
20190312,0.9900299738135511,5390138,5444419
20190313,0.9752324752922772,5316316,5451332
20190314,0.9831197807662725,5359331,5451351
20190317,0.8791239923548158,4797406,5457030
20190318,0.9181618949032571,5013197,5460036
20190428,0.7997889356329844,2625236,3282411
20190429,0.9485073955595963,7265376,7659799
20190501,0.993207897147933,7607752,7659778
20190506,0.9741305080596786,7473426,7671894
20190507,0.9934221202631673,7621460,7671925
20190508,0.9939600461701679,7624423,7670754
20190509,0.9912984654887497,7603969,7670716
20190617,0.6179737808005366,4065364,6578538
20190618,0.9945198261672313,8678725,8726548
20190619,0.9975324721757103,8705015,8726548
20190620,0.9946394623304743,8679771,8726550
20190623,0.9001975225887272,7864320,8736216
20190624,0.9367636456294735,8190829,8743752
20190626,0.981502879889494,8606202,8768392
20190715,0.8114245595354777,6230603,7678598
20190716,0.9915452211506667,8687125,8761199
20190717,0.9973803602629014,8745792,8768763
20190718,0.998686706818131,8757280,8768796
20190721,0.882732673701341,7732770,8760036
20190722,0.9414816776259198,8241676,8753942
20190724,0.9948244500956865,8732189,8777618
20190729,0.9863454107833657,8665148,8785105
20190730,0.9627722468646371,9506314,9873897
20190731,0.9564121200188225,9442961,9873318
20190801,0.993306368603761,9790112,9856085
20190804,0.8295286616647026,7271557,8765890
20190805,0.9415517710007214,9297594,9874756
20190807,0.9747934825009509,9625801,9874708
20190812,0.973595187315103,9622898,9883880
20190813,0.9894689663824398,9780030,9884120
20190814,0.9911766662023853,9806133,9893426
20190815,0.8899863120564079,8804971,9893378
20190818,0.8444814451298126,8346771,9883901
20190819,0.9434486900413214,9331434,9890770
20190821,0.9796779030231093,9689808,9890810
20190826,0.9754454175074431,9639098,9881740
20190827,0.9858705050473975,9741907,9881528
20190828,0.9951577796227032,9824321,9872124
20190829,0.9956741726684292,9829395,9872100
20190901,0.8581651837085299,8471944,9872160
20190902,0.9439995457734627,9310592,9862920
20190904,0.9788183706935255,9649538,9858354
20190909,0.9722710819552455,9589218,9862700
20190910,0.986994358237968,10847599,10990538
20190911,0.9974499837041347,10962492,10990518
20190912,0.9754900792224607,10721192,10990570
20190915,0.8338631563010814,8239642,9881288
20190916,0.9499679450986963,10431750,10981160
20190918,0.9857494108090584,10824672,10981160
20190923,0.9454470566251205,10382147,10981204
20190924,0.9868582810739196,10827363,10971548
20190925,0.9849169871015466,10806064,10971548
20190926,0.9915269791667427,10869206,10962088
20190929,0.8713850242871488,9552276,10962176
20190930,0.9381207232281236,10292569,10971476
20191002,0.9807544873501465,10779043,10990562
20191007,0.9514790525522271,9410752,9890656
20191008,0.9798728655045968,9691558,9890628
