timestamp,edges_intersection_rate,matched_paths,total_paths
20190225,0.9333709893008119,2962849,3174353
20190226,0.7850409688115787,3120614,3975097
20190227,0.9701543395923693,3857810,3976491
20190228,0.9145213841758683,3636822,3976749
20190303,0.9197225478643659,3657514,3976758
20190304,0.9570265242114441,3789180,3959326
20190306,0.8914300918039934,3541387,3972703
20190311,0.9093617985354604,3608414,3968073
20190312,0.9904311013052237,3925229,3963152
20190313,0.9782030920409658,3881504,3967994
20190314,0.9532965454393327,3782654,3967972
20190317,0.939853261449878,3732037,3970872
20190318,0.9773125021249697,3880561,3970645
20190428,0.8050448466257206,3204894,3981013
20190429,0.9904540659264423,7880732,7956686
20190501,0.992365948828908,7895977,7956719
20190506,0.9781183901303657,7793841,7968198
20190507,0.9932864234275773,7914687,7968182
20190508,0.991109170064544,7897366,7968210
20190509,0.9906175050133386,7893481,7968243
20190617,0.5147571976376709,3077828,5979184
20190618,0.9986311203574877,7918258,7929112
20190619,0.8672629765374351,6876614,7929099
20190620,0.9920519795719244,7867621,7930654
20190623,0.9442148447972457,7494694,7937488
20190624,0.9667727103599913,7680549,7944524
20190626,0.936585587492033,7462034,7967274
20190715,0.784412334663017,6256341,7975832
20190716,0.9916230534874567,7893261,7959941
20190717,0.9954348282771088,7932216,7968594
20190718,0.9947776433350213,7928724,7970348
20190721,0.8368304663181717,6662404,7961474
20190722,0.9758651886864221,7760807,7952745
20190724,0.9851210019880636,7854949,7973588
20190729,0.9631377515866275,7688093,7982340
20190730,0.9642089184420707,7689785,7975227
20190731,0.9453288591681183,7539251,7975268
20190801,0.9572522999827667,7621034,7961364
20190804,0.8995983487041269,7166079,7965865
20190805,0.9749316838608691,9724537,9974583
20190807,0.9325791915538366,9302027,9974517
20190812,0.3274760151378853,3269420,9983693
20190813,0.987571678643698,9859887,9983971
20190814,0.9776577037906884,9767477,9990692
20190815,0.5331764142535587,5326812,9990712
20190818,0.8657499242610038,8641611,9981648
20190819,0.9941946416542469,9932770,9990770
20190821,0.9694194965172994,9685286,9990810
20190826,0.968207998102311,9665299,9982668
20190827,0.9788523913747088,9771579,9982689
20190828,0.15912551266122468,1587224,9974667
20190829,0.9449832480690341,9425897,9974671
20190901,0.9348189181022547,9324499,9974658
20190902,0.9066730747234268,9036466,9966620
20190904,0.7297795944225829,7270924,9963178
20190909,0.6287225745819085,6267128,9968034
20190910,0.7996441232694376,7988875,9990538
20190911,0.891212647832675,8903676,9990518
20190912,0.9646031207428605,9636935,9990570
20190915,0.8918052877441894,8902597,9982669
20190916,0.96445220680491,9627784,9982645
20190918,0.7565547006830354,7552417,9982645
20190923,0.7414338912277236,7401478,9982654
20190924,0.7955032193989152,7933661,9973135
20190925,0.979316834676358,9766859,9973135
20190926,0.8076098272634308,8046757,9963669
20190929,0.7843143788406824,7814692,9963724
20190930,0.9615446512663717,9589580,9973099
20191002,0.8175773935999067,8169293,9992073
20191007,0.8703548524206284,8696597,9992013
20191008,0.9630585650646435,9622912,9992032
20191009,0.9906580516645922,9898682,9992027
20191010,0.987151839458992,9863635,9992014
20191013,0.9524835,9524835,10000000
20191014,0.81334,8133400,10000000
20191016,0.8284121,8284121,10000000
20191021,0.8486152490682892,8464422,9974393
20191022,0.9484068928091246,9460005,9974627
20191023,0.757838855120471,7559169,9974639
20191024,0.9899433082978735,9874340,9974652
20191027,0.9501732339922598,9477654,9974659
20191028,0.952307144792872,9491372,9966713
20191030,0.882412279650848,8801781,9974681
20191104,0.8907218958905448,8891797,9982686
20191105,0.8780142939485425,8764941,9982686
20191106,0.9455572378015296,9439201,9982686
20191107,0.9836584045274392,9819552,9982685
20191110,0.8469313823869374,8446799,9973416
20191111,0.9752148989371406,9718389,9965382
20191113,0.9015898319313649,8984697,9965393
20191118,0.7151597373883444,5710022,7984261
20200127,0.46750144353377066,1865428,3990208
20200128,0.9639289872404241,7682301,7969779
20200129,0.9955554551762472,7934348,7969770
20200130,0.9824931747875516,7829831,7969349
20200202,0.8299101646915691,6600366,7953109
20200203,0.7968800479992616,7942360,9966820
20200205,0.7683201293519979,7663719,9974643
20200210,0.7828580749315341,7808758,9974679
20200211,0.9757730059417625,11681005,11971027
20200212,0.9892327530894902,11833128,11961925
20200213,0.9721912468833663,11629376,11962025
20200216,0.9469908275701734,11327945,11962043
20200217,0.9724683647996833,11633888,11963256
20200219,0.9550249110701045,11425303,11963356
20200224,0.892881443271821,10680538,11961877
20200225,0.9819301032066738,11727312,11943123
20200226,0.9819318440503234,11719713,11935363
20200227,0.5247798718320483,6263475,11935433
20200301,0.9214816743928508,10997048,11934093
20200302,0.9599993905664033,11467690,11945518
20200304,0.9161582624832202,10944313,11945876
20200309,0.8462849479958937,10109296,11945499
20200310,0.9898357294426577,11824541,11945963
20200311,0.9915048820015536,11844438,11945920
20200312,0.9850740621281919,11767546,11945849
20200315,0.9162237670356299,10962009,11964336
20200316,0.8023213935716605,9599266,11964365
20200318,0.935946737791791,11189846,11955644
20200323,0.8235599570680414,8198009,9954356
20200324,0.9928731335145153,9878207,9949113
20200325,0.9963504577707961,9912883,9949193
20200326,0.46929310771300964,4669129,9949281
20200329,0.8494949026946749,10120833,11913942
20200330,0.7500193462712588,8945753,11927363
20200401,0.8307900954953984,9909150,11927381
20200406,0.7743656926304605,9247019,11941411
20200407,0.9125348870024779,10890414,11934244
20200408,0.9975959073026233,11905541,11934232
20200409,0.9277820851782698,11072375,11934241
20200412,0.753440529778973,9000914,11946416
20200413,0.9337355827615443,11127312,11916984
20200415,0.9264080941805468,11047977,11925605
20200420,0.9189890373495643,10967444,11934249
20200421,0.9861394018510126,11768703,11934117
20200422,0.9557425698281018,13309758,13926091
20200423,0.9963877750892007,13865809,13916077
20200426,0.853092662097562,11880165,13925996
20200427,0.808424431544277,11202208,13856840
20200429,0.9318117590897668,12922044,13867655
20200504,0.8953892069921192,12416757,13867441
